Category: All categories

Week,Applied behavior analysis: (Worldwide)
2018-08-05,53
2018-08-12,49
2018-08-19,51
2018-08-26,57
2018-09-02,53
2018-09-09,58
2018-09-16,58
2018-09-23,67
2018-09-30,61
2018-10-07,57
2018-10-14,58
2018-10-21,60
2018-10-28,55
2018-11-04,60
2018-11-11,59
2018-11-18,48
2018-11-25,58
2018-12-02,60
2018-12-09,58
2018-12-16,50
2018-12-23,34
2018-12-30,46
2019-01-06,59
2019-01-13,62
2019-01-20,59
2019-01-27,61
2019-02-03,59
2019-02-10,60
2019-02-17,62
2019-02-24,63
2019-03-03,57
2019-03-10,60
2019-03-17,59
2019-03-24,62
2019-03-31,68
2019-04-07,62
2019-04-14,59
2019-04-21,60
2019-04-28,59
2019-05-05,60
2019-05-12,62
2019-05-19,60
2019-05-26,55
2019-06-02,57
2019-06-09,57
2019-06-16,61
2019-06-23,58
2019-06-30,47
2019-07-07,57
2019-07-14,57
2019-07-21,53
2019-07-28,54
2019-08-04,54
2019-08-11,59
2019-08-18,63
2019-08-25,61
2019-09-01,64
2019-09-08,61
2019-09-15,64
2019-09-22,62
2019-09-29,71
2019-10-06,67
2019-10-13,68
2019-10-20,64
2019-10-27,64
2019-11-03,66
2019-11-10,63
2019-11-17,61
2019-11-24,54
2019-12-01,63
2019-12-08,57
2019-12-15,56
2019-12-22,37
2019-12-29,47
2020-01-05,66
2020-01-12,62
2020-01-19,63
2020-01-26,67
2020-02-02,64
2020-02-09,67
2020-02-16,66
2020-02-23,72
2020-03-01,63
2020-03-08,64
2020-03-15,51
2020-03-22,50
2020-03-29,55
2020-04-05,52
2020-04-12,54
2020-04-19,54
2020-04-26,54
2020-05-03,57
2020-05-10,54
2020-05-17,58
2020-05-24,56
2020-05-31,59
2020-06-07,55
2020-06-14,58
2020-06-21,57
2020-06-28,56
2020-07-05,60
2020-07-12,59
2020-07-19,57
2020-07-26,58
2020-08-02,65
2020-08-09,60
2020-08-16,60
2020-08-23,62
2020-08-30,65
2020-09-06,59
2020-09-13,66
2020-09-20,71
2020-09-27,62
2020-10-04,60
2020-10-11,58
2020-10-18,63
2020-10-25,59
2020-11-01,53
2020-11-08,55
2020-11-15,60
2020-11-22,53
2020-11-29,59
2020-12-06,54
2020-12-13,54
2020-12-20,37
2020-12-27,44
2021-01-03,55
2021-01-10,59
2021-01-17,61
2021-01-24,62
2021-01-31,67
2021-02-07,55
2021-02-14,60
2021-02-21,64
2021-02-28,61
2021-03-07,63
2021-03-14,60
2021-03-21,62
2021-03-28,64
2021-04-04,64
2021-04-11,66
2021-04-18,71
2021-04-25,73
2021-05-02,64
2021-05-09,66
2021-05-16,61
2021-05-23,61
2021-05-30,60
2021-06-06,72
2021-06-13,64
2021-06-20,62
2021-06-27,58
2021-07-04,57
2021-07-11,63
2021-07-18,67
2021-07-25,57
2021-08-01,57
2021-08-08,63
2021-08-15,63
2021-08-22,63
2021-08-29,65
2021-09-05,67
2021-09-12,73
2021-09-19,68
2021-09-26,59
2021-10-03,67
2021-10-10,68
2021-10-17,65
2021-10-24,66
2021-10-31,66
2021-11-07,66
2021-11-14,61
2021-11-21,56
2021-11-28,61
2021-12-05,68
2021-12-12,61
2021-12-19,48
2021-12-26,48
2022-01-02,64
2022-01-09,72
2022-01-16,65
2022-01-23,70
2022-01-30,74
2022-02-06,75
2022-02-13,75
2022-02-20,69
2022-02-27,73
2022-03-06,69
2022-03-13,76
2022-03-20,76
2022-03-27,75
2022-04-03,81
2022-04-10,76
2022-04-17,78
2022-04-24,85
2022-05-01,76
2022-05-08,67
2022-05-15,71
2022-05-22,74
2022-05-29,69
2022-06-05,77
2022-06-12,65
2022-06-19,74
2022-06-26,68
2022-07-03,70
2022-07-10,72
2022-07-17,76
2022-07-24,73
2022-07-31,74
2022-08-07,77
2022-08-14,74
2022-08-21,80
2022-08-28,79
2022-09-04,76
2022-09-11,76
2022-09-18,76
2022-09-25,76
2022-10-02,77
2022-10-09,78
2022-10-16,80
2022-10-23,80
2022-10-30,76
2022-11-06,78
2022-11-13,78
2022-11-20,62
2022-11-27,71
2022-12-04,72
2022-12-11,71
2022-12-18,63
2022-12-25,62
2023-01-01,67
2023-01-08,80
2023-01-15,80
2023-01-22,85
2023-01-29,87
2023-02-05,82
2023-02-12,78
2023-02-19,82
2023-02-26,95
2023-03-05,98
2023-03-12,94
2023-03-19,93
2023-03-26,91
2023-04-02,84
2023-04-09,88
2023-04-16,89
2023-04-23,90
2023-04-30,88
2023-05-07,83
2023-05-14,85
2023-05-21,86
2023-05-28,79
2023-06-04,100
2023-06-11,94
2023-06-18,84
2023-06-25,80
2023-07-02,74
2023-07-09,83
2023-07-16,93
2023-07-23,85
