Category: All categories

Week,aba therapy: (Worldwide)
2018-08-05,46
2018-08-12,40
2018-08-19,45
2018-08-26,45
2018-09-02,40
2018-09-09,46
2018-09-16,45
2018-09-23,50
2018-09-30,49
2018-10-07,43
2018-10-14,48
2018-10-21,47
2018-10-28,43
2018-11-04,49
2018-11-11,49
2018-11-18,35
2018-11-25,48
2018-12-02,50
2018-12-09,49
2018-12-16,41
2018-12-23,28
2018-12-30,39
2019-01-06,56
2019-01-13,51
2019-01-20,51
2019-01-27,53
2019-02-03,48
2019-02-10,50
2019-02-17,50
2019-02-24,51
2019-03-03,53
2019-03-10,49
2019-03-17,52
2019-03-24,52
2019-03-31,58
2019-04-07,52
2019-04-14,54
2019-04-21,54
2019-04-28,54
2019-05-05,52
2019-05-12,54
2019-05-19,52
2019-05-26,49
2019-06-02,45
2019-06-09,50
2019-06-16,53
2019-06-23,50
2019-06-30,44
2019-07-07,50
2019-07-14,50
2019-07-21,53
2019-07-28,49
2019-08-04,55
2019-08-11,59
2019-08-18,60
2019-08-25,55
2019-09-01,50
2019-09-08,48
2019-09-15,60
2019-09-22,58
2019-09-29,56
2019-10-06,58
2019-10-13,53
2019-10-20,55
2019-10-27,52
2019-11-03,55
2019-11-10,61
2019-11-17,64
2019-11-24,40
2019-12-01,48
2019-12-08,47
2019-12-15,47
2019-12-22,35
2019-12-29,43
2020-01-05,61
2020-01-12,61
2020-01-19,58
2020-01-26,60
2020-02-02,61
2020-02-09,56
2020-02-16,56
2020-02-23,59
2020-03-01,60
2020-03-08,47
2020-03-15,45
2020-03-22,40
2020-03-29,38
2020-04-05,35
2020-04-12,31
2020-04-19,36
2020-04-26,38
2020-05-03,41
2020-05-10,38
2020-05-17,43
2020-05-24,46
2020-05-31,44
2020-06-07,43
2020-06-14,45
2020-06-21,44
2020-06-28,45
2020-07-05,44
2020-07-12,48
2020-07-19,51
2020-07-26,52
2020-08-02,52
2020-08-09,53
2020-08-16,59
2020-08-23,51
2020-08-30,56
2020-09-06,55
2020-09-13,56
2020-09-20,57
2020-09-27,54
2020-10-04,49
2020-10-11,50
2020-10-18,51
2020-10-25,50
2020-11-01,48
2020-11-08,50
2020-11-15,53
2020-11-22,49
2020-11-29,50
2020-12-06,53
2020-12-13,46
2020-12-20,30
2020-12-27,41
2021-01-03,55
2021-01-10,52
2021-01-17,54
2021-01-24,59
2021-01-31,59
2021-02-07,59
2021-02-14,55
2021-02-21,60
2021-02-28,75
2021-03-07,55
2021-03-14,60
2021-03-21,62
2021-03-28,63
2021-04-04,68
2021-04-11,68
2021-04-18,82
2021-04-25,73
2021-05-02,72
2021-05-09,76
2021-05-16,60
2021-05-23,62
2021-05-30,56
2021-06-06,60
2021-06-13,60
2021-06-20,63
2021-06-27,58
2021-07-04,54
2021-07-11,70
2021-07-18,68
2021-07-25,60
2021-08-01,55
2021-08-08,78
2021-08-15,62
2021-08-22,64
2021-08-29,66
2021-09-05,83
2021-09-12,70
2021-09-19,71
2021-09-26,63
2021-10-03,71
2021-10-10,75
2021-10-17,77
2021-10-24,75
2021-10-31,72
2021-11-07,73
2021-11-14,75
2021-11-21,56
2021-11-28,80
2021-12-05,75
2021-12-12,60
2021-12-19,59
2021-12-26,53
2022-01-02,61
2022-01-09,70
2022-01-16,58
2022-01-23,63
2022-01-30,67
2022-02-06,70
2022-02-13,67
2022-02-20,68
2022-02-27,66
2022-03-06,63
2022-03-13,64
2022-03-20,63
2022-03-27,61
2022-04-03,69
2022-04-10,69
2022-04-17,68
2022-04-24,68
2022-05-01,65
2022-05-08,66
2022-05-15,67
2022-05-22,59
2022-05-29,60
2022-06-05,64
2022-06-12,71
2022-06-19,74
2022-06-26,70
2022-07-03,66
2022-07-10,83
2022-07-17,79
2022-07-24,74
2022-07-31,77
2022-08-07,74
2022-08-14,84
2022-08-21,77
2022-08-28,75
2022-09-04,70
2022-09-11,86
2022-09-18,76
2022-09-25,71
2022-10-02,74
2022-10-09,79
2022-10-16,76
2022-10-23,79
2022-10-30,70
2022-11-06,68
2022-11-13,88
2022-11-20,51
2022-11-27,71
2022-12-04,66
2022-12-11,72
2022-12-18,62
2022-12-25,56
2023-01-01,72
2023-01-08,81
2023-01-15,88
2023-01-22,87
2023-01-29,87
2023-02-05,77
2023-02-12,77
2023-02-19,78
2023-02-26,89
2023-03-05,84
2023-03-12,81
2023-03-19,91
2023-03-26,83
2023-04-02,79
2023-04-09,78
2023-04-16,89
2023-04-23,92
2023-04-30,89
2023-05-07,84
2023-05-14,93
2023-05-21,89
2023-05-28,74
2023-06-04,90
2023-06-11,100
2023-06-18,90
2023-06-25,87
2023-07-02,77
2023-07-09,95
2023-07-16,91
2023-07-23,86
2023-07-30,85
